Date,Code,Open,High,Low,Close,Volume
2023-05-26,SPX,4156.16,4212.87,4156.16,4205.45,0
2023-05-30,SPX,4226.71,4231.1,4192.18,4205.52,0
2023-05-31,SPX,4190.74,4195.44,4166.15,4179.83,0
2023-06-01,SPX,4183.03,4232.43,4171.64,4221.02,0
2023-06-02,SPX,4241.01,4290.67,4241.01,4282.37,0
2023-06-05,SPX,4282.99,4299.28,4266.82,4273.79,0
2023-06-06,SPX,4271.34,4288.33,4263.09,4283.85,0
2023-06-07,SPX,4285.47,4299.19,4263.96,4267.52,0
2023-06-08,SPX,4268.69,4298.01,4261.07,4293.93,0
2023-06-09,SPX,4304.88,4322.62,4291.7,4298.86,0
2023-06-12,SPX,4308.32,4340.13,4304.37,4338.93,0
2023-06-13,SPX,4352.61,4375.37,4349.31,4369.01,0
2023-06-14,SPX,4366.29,4391.82,4337.85,4372.59,0
2023-06-15,SPX,4365.33,4439.2,4362.6,4425.84,0
2023-06-16,SPX,4440.95,4448.47,4407.44,4409.59,0
2023-06-20,SPX,4396.11,4400.15,4367.19,4388.71,0
2023-06-21,SPX,4380.01,4386.22,4360.14,4365.69,0
2023-06-22,SPX,4355.4,4382.25,4351.82,4381.89,0
2023-06-23,SPX,4354.17,4366.55,4341.34,4348.33,0
2023-06-26,SPX,4344.84,4362.06,4328.08,4328.82,0
2023-06-27,SPX,4337.36,4384.42,4335.0,4378.41,0
2023-06-28,SPX,4367.48,4390.35,4360.22,4376.86,0
2023-06-29,SPX,4374.94,4398.39,4371.97,4396.44,0
2023-06-30,SPX,4422.44,4458.48,4422.44,4450.38,0
2023-07-03,SPX,4450.48,4456.46,4442.29,4455.59,0
2023-07-05,SPX,4442.04,4454.06,4436.61,4446.82,0
2023-07-06,SPX,4422.62,4422.62,4385.05,4411.59,0
2023-07-07,SPX,4404.54,4440.39,4397.4,4398.95,0
2023-07-10,SPX,4394.23,4412.6,4389.92,4409.53,0
2023-07-11,SPX,4415.55,4443.64,4408.46,4439.26,0
2023-07-12,SPX,4467.69,4488.34,4463.23,4472.16,0
2023-07-13,SPX,4491.5,4517.38,4489.36,4510.04,0
2023-07-14,SPX,4514.61,4527.76,4499.56,4505.42,0
2023-07-17,SPX,4508.86,4532.85,4504.9,4522.79,0
2023-07-18,SPX,4521.78,4562.3,4514.59,4554.98,0
2023-07-19,SPX,4563.87,4578.43,4557.48,4565.72,0
2023-07-20,SPX,4554.38,4564.74,4527.56,4534.87,0
2023-07-21,SPX,4550.16,4555.0,4535.79,4536.34,0
2023-07-24,SPX,4543.39,4563.41,4541.29,4554.64,0
2023-07-25,SPX,4555.19,4580.62,4552.42,4567.46,0
2023-07-26,SPX,4558.96,4582.47,4547.58,4566.75,0
2023-07-27,SPX,4598.26,4607.07,4528.56,4537.41,0
2023-07-28,SPX,4565.75,4590.16,4564.01,4582.23,0
2023-07-31,SPX,4584.82,4594.22,4573.14,4588.96,0
2023-08-01,SPX,4578.83,4584.62,4567.53,4576.73,0
2023-08-02,SPX,4550.93,4550.93,4505.75,4513.39,0
2023-08-03,SPX,4494.27,4519.49,4485.54,4501.89,0
2023-08-04,SPX,4513.96,4540.34,4474.55,4478.03,0
2023-08-07,SPX,4491.58,4519.84,4491.15,4518.44,0
2023-08-08,SPX,4498.03,4503.31,4464.39,4499.38,0
2023-08-09,SPX,4501.57,4502.44,4461.33,4467.71,0
2023-08-10,SPX,4487.16,4527.37,4457.92,4468.83,0
2023-08-11,SPX,4450.69,4476.23,4443.98,4464.05,0
2023-08-14,SPX,4458.13,4490.33,4453.44,4489.72,0
2023-08-15,SPX,4478.87,4478.87,4432.19,4437.86,0
2023-08-16,SPX,4433.79,4449.95,4403.55,4404.33,0
2023-08-17,SPX,4416.32,4421.17,4364.83,4370.36,0
2023-08-18,SPX,4344.88,4381.82,4335.31,4369.71,0
2023-08-21,SPX,4380.28,4407.55,4360.3,4399.77,0
2023-08-22,SPX,4415.33,4418.59,4382.77,4387.55,0
2023-08-23,SPX,4396.44,4443.18,4396.44,4436.01,0
2023-08-24,SPX,4455.16,4458.3,4375.55,4376.31,0
2023-08-25,SPX,4389.38,4418.46,4356.29,4405.71,0
2023-08-28,SPX,4426.03,4439.56,4414.98,4433.31,0
2023-08-29,SPX,4432.75,4500.14,4431.68,4497.63,0
2023-08-30,SPX,4500.34,4521.65,4493.59,4514.87,0
2023-08-31,SPX,4517.01,4532.26,4507.39,4507.66,0
2023-09-01,SPX,4530.6,4541.25,4501.35,4515.77,0
2023-09-05,SPX,4510.06,4514.29,4496.01,4496.83,0
2023-09-06,SPX,4490.35,4490.35,4442.38,4465.48,0
2023-09-07,SPX,4434.55,4457.81,4430.46,4451.14,0
2023-09-08,SPX,4451.3,4473.53,4448.38,4457.49,0
2023-09-11,SPX,4480.98,4490.77,4467.89,4487.46,0
2023-09-12,SPX,4473.27,4487.11,4456.83,4461.9,0
2023-09-13,SPX,4462.65,4479.39,4453.52,4467.44,0
2023-09-14,SPX,4487.78,4511.99,4478.69,4505.1,0
2023-09-15,SPX,4497.98,4497.98,4447.21,4450.32,0
2023-09-18,SPX,4445.13,4466.36,4442.11,4453.53,0
2023-09-19,SPX,4445.41,4449.85,4416.61,4443.95,0
2023-09-20,SPX,4452.81,4461.03,4401.38,4402.2,0
2023-09-21,SPX,4374.36,4375.7,4329.17,4330.0,0
2023-09-22,SPX,4341.74,4357.4,4316.49,4320.06,0
2023-09-25,SPX,4310.62,4338.51,4302.7,4337.44,0
2023-09-26,SPX,4312.88,4313.01,4265.98,4273.53,0
2023-09-27,SPX,4282.63,4292.07,4238.63,4274.51,0
2023-09-28,SPX,4269.65,4317.27,4264.38,4299.7,0
2023-09-29,SPX,4328.18,4333.15,4274.86,4288.05,0
2023-10-02,SPX,4284.52,4300.58,4260.21,4288.39,0
2023-10-03,SPX,4269.75,4281.15,4216.45,4229.45,0
2023-10-04,SPX,4233.83,4268.5,4220.48,4263.75,0
2023-10-05,SPX,4259.31,4267.13,4225.91,4258.19,0
2023-10-06,SPX,4234.79,4324.1,4219.55,4308.5,0
2023-10-09,SPX,4289.02,4341.73,4283.79,4335.66,0
2023-10-10,SPX,4339.75,4385.46,4339.64,4358.24,0
2023-10-11,SPX,4366.59,4378.64,4345.34,4376.95,0
2023-10-12,SPX,4380.94,4385.85,4325.43,4349.61,0
2023-10-13,SPX,4360.49,4377.1,4311.97,4327.78,0
2023-10-16,SPX,4342.37,4383.33,4342.37,4373.63,0
2023-10-17,SPX,4345.23,4393.57,4337.54,4373.2,0
2023-10-18,SPX,4357.35,4364.2,4303.84,4314.6,0
2023-10-19,SPX,4321.36,4339.54,4269.69,4278.0,0
2023-10-20,SPX,4273.85,4276.56,4223.03,4224.16,0
2023-10-23,SPX,4210.4,4255.84,4189.22,4217.04,0
2023-10-24,SPX,4235.79,4259.38,4219.43,4247.68,0
2023-10-25,SPX,4232.42,4232.42,4181.42,4186.77,0
2023-10-26,SPX,4175.99,4183.6,4127.9,4137.23,0
2023-10-27,SPX,4152.93,4156.7,4103.78,4117.37,0
2023-10-30,SPX,4139.39,4177.47,4132.94,4166.82,0
2023-10-31,SPX,4171.33,4195.55,4153.12,4193.8,0
2023-11-01,SPX,4201.27,4245.64,4197.74,4237.86,0
2023-11-02,SPX,4268.26,4319.72,4268.26,4317.78,0
2023-11-03,SPX,4334.23,4373.62,4334.23,4358.34,0
2023-11-06,SPX,4364.27,4372.21,4347.53,4365.98,0
2023-11-07,SPX,4366.21,4386.26,4355.41,4378.38,0
2023-11-08,SPX,4384.37,4391.2,4359.76,4382.78,0
2023-11-09,SPX,4391.41,4393.4,4343.94,4347.35,0
2023-11-10,SPX,4364.15,4418.03,4353.34,4415.24,0
2023-11-13,SPX,4406.66,4421.76,4393.82,4411.55,0
2023-11-14,SPX,4458.97,4508.67,4458.97,4495.7,0
2023-11-15,SPX,4505.3,4521.17,4495.31,4502.88,0
2023-11-16,SPX,4497.08,4511.99,4487.83,4508.24,0
2023-11-17,SPX,4509.55,4520.12,4499.66,4514.02,0
2023-11-20,SPX,4511.7,4557.11,4510.36,4547.38,0
2023-11-21,SPX,4538.77,4542.14,4525.51,4538.19,0
2023-11-22,SPX,4553.04,4568.43,4545.05,4556.62,0
2023-11-24,SPX,4555.84,4560.31,4552.8,4559.34,0
2023-11-27,SPX,4554.86,4560.52,4546.32,4550.43,0
2023-11-28,SPX,4545.55,4568.14,4540.51,4554.89,0
2023-11-29,SPX,4571.84,4587.64,4547.15,4550.58,0
2023-11-30,SPX,4554.87,4569.89,4537.24,4567.8,0
2023-12-01,SPX,4559.43,4599.39,4554.71,4594.63,0
2023-12-04,SPX,4564.37,4572.37,4546.72,4569.78,0
2023-12-05,SPX,4557.25,4578.56,4551.68,4567.18,0
2023-12-06,SPX,4586.23,4590.74,4546.5,4549.34,0
2023-12-07,SPX,4568.84,4590.92,4565.22,4585.59,0
2023-12-08,SPX,4576.2,4609.23,4574.06,4604.37,0
2023-12-11,SPX,4593.39,4623.71,4593.39,4622.44,0
2023-12-12,SPX,4618.3,4643.93,4608.09,4643.7,0
2023-12-13,SPX,4646.2,4709.69,4643.23,4707.09,0
2023-12-14,SPX,4721.04,4738.57,4694.34,4719.55,0
2023-12-15,SPX,4714.23,4725.53,4704.69,4719.19,0
